"File","Category","Count"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Appointment.html","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Dashboard.html","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Registration.html","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Add_Doctor.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Add_Doctor.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_orders.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_orders.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\adminlogin.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\book_appointment.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\checkout.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\checkout.php","btn-primary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\checkout.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\contect.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\contect.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Delete_Appointment.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Delete_Doctor.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Delete_User.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Doctor_dashboard.php","btn-danger-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Doctor_dashboard.php","btn-secondary-action","4"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Doctor_Login.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Doctor_profile.php","btn-danger-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Doctor_profile.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Doctor_profile.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\DoctorPersonalAppointments.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\DoctorPersonalAppointments.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\DoctorSchedule.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\DoctorSchedule.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\DoctorsPersonalPatient.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\DoctorsPersonalPatient.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FeatchAppointments.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FeatchAppointments.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FeatchDoctors.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FeatchDoctors.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FeatchUserR.php","btn-danger-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FeatchUserR.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\fetch_pharmacy.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\fetch_pharmacy.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\fetch_pharmacy.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FetchContect.php","btn-danger-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\FetchContect.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\ForgotPassword.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\ForgotPassword.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\gallery.html","btn-utility","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Index2.html","btn-secondary-action","5"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Logins.html","btn-primary-action","6"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\orders.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\patient_appointmenthistory.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\payment.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\payment.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-primary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-utility","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\update_medicine.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\update_medicine.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\UpdateContect.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\UpdateContect.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_appointment.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-danger-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-navigation","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-secondary-action","3"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Profile.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Profile.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Profile.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Registration.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\UserLogin.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\ViewAppointments.php","btn-navigation","1"
